,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
974800,,,,,,,,,,0.0,27.0,66.0,114.0,152.0,179.0,201.0,
9308,,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,66.0,
963701,,,,,,,,,,0.0,23.0,50.0,94.0,134.0,190.0,246.0,
405,,,,,,,,,,0.0,,,,,,,
963702,,,,,,,,,,0.0,35.0,60.0,96.0,131.0,155.0,175.0,
960600,,,,,8.0,14.0,26.0,38.0,,0.0,12.0,24.0,48.0,91.0,141.0,196.0,234.0
952100,,,,,,,,,,0.0,63.0,141.0,213.0,298.0,360.0,418.0,
9304,,,,,,,,,,0.0,12.0,24.0,34.0,35.0,47.0,59.0,
9606,,,,,,,,,,0.0,12.0,24.0,36.0,48.0,60.0,71.0,
81800,,,,,,,,,,0.0,1.0,4.0,16.0,27.0,27.0,36.0,
85900,,,,,,,,,,0.0,,3.0,15.0,27.0,39.0,50.0,
15000,,,3.0,,,,,,,0.0,15.0,27.0,39.0,51.0,63.0,70.0,73.0
6701,,,9.0,,,,,,,,,,,,,,
10902,,,3.0,15.0,27.0,39.0,51.0,63.0,,,3.0,15.0,27.0,39.0,51.0,63.0,126.0
11708,,,3.0,15.0,27.0,39.0,51.0,63.0,,,3.0,15.0,27.0,39.0,51.0,63.0,126.0
9316,,,6.0,33.0,50.0,63.0,75.0,83.0,,,3.0,18.0,23.0,41.0,65.0,80.0,163.0
4009,,,3.0,15.0,27.0,39.0,56.0,68.0,,,,,,,,,
968100,,,3.0,27.0,50.0,74.0,98.0,119.0,,,3.0,27.0,46.0,63.0,81.0,114.0,233.0
7037,,,2.0,14.0,26.0,38.0,50.0,62.0,,,2.0,14.0,26.0,38.0,50.0,62.0,124.0
5202,,,3.0,15.0,27.0,39.0,51.0,63.0,,,,,,,,,
8709,,,,3.0,11.0,42.0,72.0,101.0,,,6.0,36.0,80.0,147.0,197.0,265.0,366.0
13003,,,,,,,,,,,3.0,15.0,20.0,22.0,34.0,46.0,
5702,,,,3.0,15.0,27.0,39.0,43.0,,,,3.0,15.0,35.0,49.0,53.0,96.0
11202,,,,3.0,15.0,27.0,39.0,45.0,,,,3.0,15.0,27.0,39.0,45.0,90.0
951701,,,,,,,,,,,,3.0,15.0,27.0,39.0,51.0,
8540,,,,,,,,,,,,3.0,15.0,27.0,29.0,38.0,
2919,,,,,,,,,,,,3.0,,12.0,15.0,27.0,
9319,,,,,,,,,,,,1.0,13.0,25.0,33.0,36.0,
9307,,,,,,,,,,,,3.0,15.0,27.0,38.0,38.0,
974300,,,,,,,,,,,,3.0,15.0,27.0,39.0,51.0,
8555,,,,,,,,,,,,3.0,15.0,20.0,,,
6862,,,,,,,,,,,,1.0,13.0,25.0,34.0,36.0,
4951,,,,,4.0,16.0,28.0,40.0,,,,,4.0,16.0,28.0,40.0,80.0
2804,,,,,4.0,16.0,28.0,31.0,,,,,4.0,18.0,42.0,56.0,87.0
5501,,,,,4.0,10.0,22.0,34.0,,,,,,,,,
8901,,,,,8.0,20.0,32.0,39.0,,,,,8.0,20.0,32.0,39.0,78.0
11551,,,,,8.0,20.0,32.0,44.0,,,,,8.0,20.0,32.0,44.0,88.0
977700,,,,,,,,,,,,,0.0,12.0,24.0,40.0,
13402,,,,,,,,,,,,,12.0,36.0,52.0,67.0,
13211,,,,,,,,,,,,,16.0,40.0,64.0,82.0,
969602,,,,,,,,,,,,,0.0,17.0,35.0,55.0,
13306,,,,,,,,,,,,,8.0,20.0,32.0,44.0,
5400,,,,,,11.0,26.0,44.0,,,,,,,,,
8000,,,,,,8.0,20.0,29.0,,,,,,,,,
14702,,,,,,3.0,15.0,27.0,,,,,,3.0,15.0,27.0,54.0
964900,,,,,,4.0,16.0,23.0,,,,,,,,,
966701,,,,,,,4.0,8.0,,,,,,2.0,22.0,47.0,55.0
8705,,,,,,,,,,,,,,2.0,5.0,17.0,
5552,,,,,,,,,,,,,,8.0,20.0,32.0,
970703,,,,,,,,,,,,,,10.0,22.0,34.0,
